"Reference","Value","JLCPCB Part #"
"3.3V1","VCC_3.3V",""
"5V1","VCC_5V",""
"12V1","VCC_12V",""
"C1","22uF","C296720"
"C4","1nF","C5137496"
"C5","10pF","C5137496"
"C6","0.01uF","C519909 "
"C7","100nF"," C519980"
"C8,C9","47uF","C76636"
"D1","B340A-13-F","C64982"
"GND1","GND",""
"H1,H2,H3,H4","MountingHole",""
"J1","MOTOR_INPUTS","C144395"
"J2","TOF_SENSOR","C144397"
"J3","RTC","C144397"
"L1","5.6uH","C3040663"
"R1","60.4k",""
"R4","1.96k","C104062"
"R5","10.2k","C17402"
"U1","ESP32-S3-DEVKITC-1-N8R8",""
"U2","A4988_STEPPER_MOTOR_DRIVER_CARRIER",""
"U3","TPS54331DR","C9865"
"U4","~",""
