Designator,Footprint,Quantity,Value,LCSC Part #
12V1,TestPoint_Pad_D2.0mm,1,VCC_12V,
3.3V1,TestPoint_Pad_D2.0mm,1,VCC_3.3V,
5V1,TestPoint_Pad_D2.0mm,1,VCC_5V,
C1,0805,1,22uF,C45783
C4,0805,1,1nF,C46653
C5,0805,1,47pF,C14857
C6,0805,1,10nF,C1710
C7,0805,1,100nF,C28233
"C8, C9",0805,2,47uF,C16780
D1,DIOM5226X240N,1,B340A-13-F,C64982
GND1,TestPoint_Pad_D2.0mm,1,GND,
J1,JST_B4B-XH-A,1,MOTOR_INPUTS,C144395
J2,JST_B6B-XH-A,1,TOF_SENSOR,C144397
J3,JST_B6B-XH-A,1,RTC,C144397
L1,IND_XAL4030-682MEC,1,5.6uH,C3040663
R1,0805,1,68k,C17801
R4,0805,1,2k,C17604 
R5,0805,1,10k,C17414
U1,ESP32-S3-DEVKITC-1-N8R8,1,ESP32-S3-DEVKITC-1-N8R8,
U2,MODULE_A4988_STEPPER_MOTOR_DRIVER_CARRIER,1,A4988_STEPPER_MOTOR_DRIVER_CARRIER,
U3,SOIC127P599X175-8N,1,TPS54331DR,C9865
U4,USB_BOARD,1,~,
