Designator,Mid X,Mid Y,Rotation,Layer
C1,132.6,-103.5,90.0,top
C4,149.5,-108.9,0.0,top
C5,148.3,-105.9,90.0,top
C6,136.3,-107.8,90.0,top
C7,144.0,-99.4,90.0,top
C8,156.15,-100.05,0.0,top
C9,156.15,-102.4,0.0,top
D1,147.1,-99.95,90.0,top
J1,161.5,-124.525,0.0,top
J2,175.5,-86.0,90.0,top
J3,175.5,-105.0,90.0,top
L1,151.75,-101.25,0.0,top
R1,150.6,-105.9,90.0,top
R4,140.8,-109.55,180.0,top
R5,144.8,-109.55,180.0,top
U1,129.2,-80.57,90.0,top
U2,141.5,-120.0,90.0,top
U3,141.3,-105.05,0.0,top
U4,106.05,-117.5,90.0,top
